Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","99.3855","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","152.6062","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","0.002","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","157.0495","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","0.0034","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","241.896","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","0.0026","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","209.7859","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","71.0095","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","0.0003","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","66.3401","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","66.9964","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","0.0003","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","57.343","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","53.5748","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","52.1563","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","72.6639","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","72.1092","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","0.0008","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","113.9319","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","0.0021","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","84.9128","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","0.0017","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","33.5661","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","56.6952","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","0.002","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","80.6564","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","0.0023","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","79.6141","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","0.0022","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","70.3155","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","0.0024","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","88.8431","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","0.0023","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","74.8776","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","0.0021","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","48.6176","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","0.0023","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","83.0238","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","0.0016","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","40.3546","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","71.1224","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","68.9314","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","0.0077","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","1341.3589","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","0.0083","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","1036.7045","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","0.0094","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","1555.7534","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","0.0101","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","1693.6146","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","0.0112","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","1891.9167","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","0.0122","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","2023.0054","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","0.0133","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","2182.7935","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","0.0139","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","2270.7739","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","0.0148","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","2421.9485","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","0.0152","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","2401.8219","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","0.0152","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","2401.8219","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","0.0159","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","2247.3187","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","5.6911","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0.0019","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","5.5447","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","0.0017","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2002","2002","3050","FAO TIER 1","kilotonnes","6.0497","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","0.0015","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2003","2003","3050","FAO TIER 1","kilotonnes","6.2294","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","0.0014","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2004","2004","3050","FAO TIER 1","kilotonnes","6.0411","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2005","2005","3050","FAO TIER 1","kilotonnes","6.295","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","0.001","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2006","2006","3050","FAO TIER 1","kilotonnes","28.5144","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","0.0009","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2007","2007","3050","FAO TIER 1","kilotonnes","46.3054","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","0.0009","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2008","2008","3050","FAO TIER 1","kilotonnes","45.6484","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","0.001","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2009","2009","3050","FAO TIER 1","kilotonnes","62.1791","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2010","2010","3050","FAO TIER 1","kilotonnes","74.9951","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","0.0014","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2011","2011","3050","FAO TIER 1","kilotonnes","89.4274","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","0.0016","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2012","2012","3050","FAO TIER 1","kilotonnes","185.0679","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","0.0014","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2013","2013","3050","FAO TIER 1","kilotonnes","163.218","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","0.0016","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2014","2014","3050","FAO TIER 1","kilotonnes","243.6317","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","0.0015","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2015","2015","3050","FAO TIER 1","kilotonnes","179.7464","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","0.0014","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2016","2016","3050","FAO TIER 1","kilotonnes","153.181","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2017","2017","3050","FAO TIER 1","kilotonnes","135.6071","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2018","2018","3050","FAO TIER 1","kilotonnes","113.6441","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2019","2019","3050","FAO TIER 1","kilotonnes","129.8034","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","0.0012","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6507","Food Processing","2020","2020","3050","FAO TIER 1","kilotonnes","123.5536","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7230","Emissions (N2O)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7273","Emissions (CO2)","6507","Food Processing","2000","2000","3050","FAO TIER 1","kilotonnes","1.2677","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7230","Emissions (N2O)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7273","Emissions (CO2)","6507","Food Processing","2001","2001","3050","FAO TIER 1","kilotonnes","1.4446","E","Estimated value",""
