,Domain,Area Code (M49),Area,Element,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description
46,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
47,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
48,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
49,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
50,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
51,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
52,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
53,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
54,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
55,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
56,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.0008,E,Estimated value
57,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,113.9319,E,Estimated value
58,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0021,E,Estimated value
59,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,84.9128,E,Estimated value
60,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.0017,E,Estimated value
61,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,33.5661,E,Estimated value
62,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
63,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,56.6952,E,Estimated value
64,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,0.002,E,Estimated value
65,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,80.6564,E,Estimated value
66,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,0.0023,E,Estimated value
67,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,79.6141,E,Estimated value
68,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,0.0022,E,Estimated value
69,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,70.3155,E,Estimated value
70,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,0.0024,E,Estimated value
71,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,88.8431,E,Estimated value
72,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,0.0023,E,Estimated value
73,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,74.8776,E,Estimated value
74,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,0.0021,E,Estimated value
75,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,48.6176,E,Estimated value
76,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,0.0023,E,Estimated value
77,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,83.0238,E,Estimated value
78,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,0.0016,E,Estimated value
79,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,40.3546,E,Estimated value
80,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
81,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,71.1224,E,Estimated value
82,Emissions Totals,8,Albania,Emissions (N2O),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
83,Emissions Totals,8,Albania,Emissions (CO2),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,68.9314,E,Estimated value
84,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
85,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
86,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
87,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
88,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
89,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
90,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
91,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
92,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
93,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
94,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
95,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
96,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
97,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
98,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
99,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
100,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
101,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
102,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.0077,E,Estimated value
103,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,1341.3589,E,Estimated value
104,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.0083,E,Estimated value
105,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,1036.7045,E,Estimated value
106,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,0.0094,E,Estimated value
107,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,1555.7534,E,Estimated value
108,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,0.0101,E,Estimated value
109,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,1693.6146,E,Estimated value
110,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,0.0112,E,Estimated value
111,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,1891.9167,E,Estimated value
112,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,0.0122,E,Estimated value
113,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,2023.0054,E,Estimated value
114,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,0.0133,E,Estimated value
115,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,2182.7935,E,Estimated value
116,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,0.0139,E,Estimated value
117,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,2270.7739,E,Estimated value
118,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,0.0148,E,Estimated value
119,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,2421.9485,E,Estimated value
120,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,0.0152,E,Estimated value
121,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,2401.8219,E,Estimated value
122,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,0.0152,E,Estimated value
123,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,2401.8219,E,Estimated value
124,Emissions Totals,12,Algeria,Emissions (N2O),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,0.0159,E,Estimated value
125,Emissions Totals,12,Algeria,Emissions (CO2),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,2247.3187,E,Estimated value
126,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
127,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,5.6911,E,Estimated value
128,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0019,E,Estimated value
129,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,5.5447,E,Estimated value
130,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0017,E,Estimated value
131,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,6.0497,E,Estimated value
132,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0015,E,Estimated value
133,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,6.2294,E,Estimated value
134,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0014,E,Estimated value
135,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,6.0411,E,Estimated value
136,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
137,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,6.295,E,Estimated value
138,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.001,E,Estimated value
139,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,28.5144,E,Estimated value
140,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.0009,E,Estimated value
141,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,46.3054,E,Estimated value
142,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0009,E,Estimated value
143,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,45.6484,E,Estimated value
144,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.001,E,Estimated value
145,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,62.1791,E,Estimated value
146,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
147,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,74.9951,E,Estimated value
148,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,0.0014,E,Estimated value
149,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,89.4274,E,Estimated value
150,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,0.0016,E,Estimated value
151,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,185.0679,E,Estimated value
152,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,0.0014,E,Estimated value
153,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,163.218,E,Estimated value
154,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,0.0016,E,Estimated value
155,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,243.6317,E,Estimated value
156,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,0.0015,E,Estimated value
157,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2015,2015,3050,FAO TIER 1,kilotonnes,179.7464,E,Estimated value
158,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,0.0014,E,Estimated value
159,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2016,2016,3050,FAO TIER 1,kilotonnes,153.181,E,Estimated value
160,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
161,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2017,2017,3050,FAO TIER 1,kilotonnes,135.6071,E,Estimated value
162,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
163,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2018,2018,3050,FAO TIER 1,kilotonnes,113.6441,E,Estimated value
164,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
165,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2019,2019,3050,FAO TIER 1,kilotonnes,129.8034,E,Estimated value
166,Emissions Totals,24,Angola,Emissions (N2O),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,0.0012,E,Estimated value
167,Emissions Totals,24,Angola,Emissions (CO2),Food Processing,2020,2020,3050,FAO TIER 1,kilotonnes,123.5536,E,Estimated value
168,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
169,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2000,2000,3050,FAO TIER 1,kilotonnes,1.2677,E,Estimated value
170,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
171,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2001,2001,3050,FAO TIER 1,kilotonnes,1.4446,E,Estimated value
172,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
173,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2002,2002,3050,FAO TIER 1,kilotonnes,0.8498,E,Estimated value
174,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
175,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2003,2003,3050,FAO TIER 1,kilotonnes,0.9752,E,Estimated value
176,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
177,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2004,2004,3050,FAO TIER 1,kilotonnes,1.3687,E,Estimated value
178,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
179,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2005,2005,3050,FAO TIER 1,kilotonnes,0.9799,E,Estimated value
180,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
181,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2006,2006,3050,FAO TIER 1,kilotonnes,1.0431,E,Estimated value
182,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
183,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2007,2007,3050,FAO TIER 1,kilotonnes,1.1515,E,Estimated value
184,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
185,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2008,2008,3050,FAO TIER 1,kilotonnes,0.7218,E,Estimated value
186,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
187,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2009,2009,3050,FAO TIER 1,kilotonnes,0.7415,E,Estimated value
188,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
189,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2010,2010,3050,FAO TIER 1,kilotonnes,0.8372,E,Estimated value
190,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
191,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2011,2011,3050,FAO TIER 1,kilotonnes,3.1771,E,Estimated value
192,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
193,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2012,2012,3050,FAO TIER 1,kilotonnes,3.2696,E,Estimated value
194,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
195,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2013,2013,3050,FAO TIER 1,kilotonnes,3.4162,E,Estimated value
196,Emissions Totals,660,Anguilla,Emissions (N2O),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,0.0,E,Estimated value
197,Emissions Totals,660,Anguilla,Emissions (CO2),Food Processing,2014,2014,3050,FAO TIER 1,kilotonnes,3.2156,E,Estimated value
